sample,frame_key,transition,change_frame,view,onset,a2e_frames,responded
a2e_flat_stop_cf48,flat,stop,48,0,49,1,1
a2e_flat_stop_cf48,flat,stop,48,1,51,3,1
a2e_flat_stop_cf96,flat,stop,96,0,,,0
a2e_flat_stop_cf96,flat,stop,96,1,,,0
a2e_flat_stop_cf144,flat,stop,144,0,147,3,1
a2e_flat_stop_cf144,flat,stop,144,1,,,0
a2e_flat_reverse_cf48,flat,reverse,48,0,49,1,1
a2e_flat_reverse_cf48,flat,reverse,48,1,49,1,1
a2e_flat_reverse_cf96,flat,reverse,96,0,,,0
a2e_flat_reverse_cf96,flat,reverse,96,1,,,0
a2e_flat_reverse_cf144,flat,reverse,144,0,145,1,1
a2e_flat_reverse_cf144,flat,reverse,144,1,,,0
a2e_flat_turn_cf48,flat,turn,48,0,68,20,1
a2e_flat_turn_cf48,flat,turn,48,1,56,8,1
a2e_flat_turn_cf96,flat,turn,96,0,100,4,1
a2e_flat_turn_cf96,flat,turn,96,1,,,0
a2e_flat_turn_cf144,flat,turn,144,0,148,4,1
a2e_flat_turn_cf144,flat,turn,144,1,,,0
a2e_flat_start_cf48,flat,start,48,0,49,1,1
a2e_flat_start_cf48,flat,start,48,1,50,2,1
a2e_flat_start_cf96,flat,start,96,0,97,1,1
a2e_flat_start_cf96,flat,start,96,1,98,2,1
a2e_flat_start_cf144,flat,start,144,0,150,6,1
a2e_flat_start_cf144,flat,start,144,1,148,4,1
a2e_normal_stop_cf48,normal,stop,48,0,50,2,1
a2e_normal_stop_cf48,normal,stop,48,1,49,1,1
a2e_normal_stop_cf96,normal,stop,96,0,98,2,1
a2e_normal_stop_cf96,normal,stop,96,1,98,2,1
a2e_normal_stop_cf144,normal,stop,144,0,148,4,1
a2e_normal_stop_cf144,normal,stop,144,1,148,4,1
a2e_normal_reverse_cf48,normal,reverse,48,0,66,18,1
a2e_normal_reverse_cf48,normal,reverse,48,1,49,1,1
a2e_normal_reverse_cf96,normal,reverse,96,0,97,1,1
a2e_normal_reverse_cf96,normal,reverse,96,1,,,0
a2e_normal_reverse_cf144,normal,reverse,144,0,149,5,1
a2e_normal_reverse_cf144,normal,reverse,144,1,147,3,1
a2e_normal_turn_cf48,normal,turn,48,0,49,1,1
a2e_normal_turn_cf48,normal,turn,48,1,57,9,1
a2e_normal_turn_cf96,normal,turn,96,0,97,1,1
a2e_normal_turn_cf96,normal,turn,96,1,97,1,1
a2e_normal_turn_cf144,normal,turn,144,0,149,5,1
a2e_normal_turn_cf144,normal,turn,144,1,146,2,1
a2e_normal_start_cf48,normal,start,48,0,49,1,1
a2e_normal_start_cf48,normal,start,48,1,52,4,1
a2e_normal_start_cf96,normal,start,96,0,97,1,1
a2e_normal_start_cf96,normal,start,96,1,101,5,1
a2e_normal_start_cf144,normal,start,144,0,149,5,1
a2e_normal_start_cf144,normal,start,144,1,150,6,1
