arm,seed,switch_px,view_onsets,onset,cls,perceived,post_switch
offline,1,96,"[117, None]",117.0,post_admission,21.0,21.0
swap+0,1,96,"[None, None]",,undetected,,
swap+1,1,108,"[117, 117]",117.0,post_admission,21.0,9.0
swap+2,1,120,"[None, None]",,undetected,,
swap+4,1,144,"[None, None]",,undetected,,
offline,2,96,"[105, 105]",105.0,post_admission,9.0,9.0
swap+0,2,96,"[105, None]",105.0,post_admission,9.0,9.0
swap+1,2,108,"[None, 117]",117.0,post_admission,21.0,9.0
swap+2,2,120,"[117, None]",117.0,pre_admission,,
swap+4,2,144,"[117, None]",117.0,pre_admission,,
offline,3,96,"[None, 117]",117.0,post_admission,21.0,21.0
swap+0,3,96,"[None, 105]",105.0,post_admission,9.0,9.0
swap+1,3,108,"[105, None]",105.0,pre_admission,,
swap+2,3,120,"[117, 105]",111.0,pre_admission,,
swap+4,3,144,"[105, 105]",105.0,pre_admission,,
offline,4,96,"[105, 105]",105.0,post_admission,9.0,9.0
swap+0,4,96,"[105, 105]",105.0,post_admission,9.0,9.0
swap+1,4,108,"[105, 105]",105.0,pre_admission,,
swap+2,4,120,"[117, 117]",117.0,pre_admission,,
swap+4,4,144,"[117, None]",117.0,pre_admission,,
