setting,arm,phase,count,p50_ms,p90_ms,p95_ms,p99_ms,peak_allocated_bytes,exact_vs_unfused_stock,retained
NVTE_FUSED_ATTN=0,stock_conditioning,pre_roll,30,490.1884900027653,491.72251181444153,491.9284513351158,494.1511485824594,67262818304,True,False
NVTE_FUSED_ATTN=0,shallow_conditioning,pre_roll,30,490.5121004994726,493.3907820028253,493.7904805323342,494.2104257881874,67262818304,gated_by_exact_chain,True
NVTE_FUSED_ATTN=0,stock_conditioning,first_roll,30,1749.1672540054424,1752.8535946941702,1754.0510857579648,1754.6650426700944,80924510720,True,False
NVTE_FUSED_ATTN=0,shallow_conditioning,first_roll,30,1748.4411324985558,1752.5492252898403,1752.9923084046459,1755.854455595545,80813775360,gated_by_exact_chain,True
NVTE_FUSED_ATTN=0,stock_conditioning,steady_roll,30,1749.3628795054974,1753.7339158763643,1755.9486400539754,2633.581975744456,80927461376,True,False
NVTE_FUSED_ATTN=0,shallow_conditioning,steady_roll,30,1749.8356775031425,1753.6478427005932,1754.884396250418,2126.2836585624614,80817337344,gated_by_exact_chain,True
NVTE_FUSED_ATTN=1,stock_conditioning,first_roll,30,1388.6590439942665,1459.2214765114486,2370.162202094796,2830.337820171553,80924510720,False,False
NVTE_FUSED_ATTN=1,shallow_conditioning,first_roll,30,1388.9070055010961,1391.642844598391,1398.416107155208,2467.514171727527,80813775360,False,False
NVTE_FUSED_ATTN=1,stock_conditioning,steady_roll,30,1390.1503905071877,1399.473544297507,2249.388931307472,2915.6826251884922,80927461376,False,False
NVTE_FUSED_ATTN=1,shallow_conditioning,steady_roll,30,1388.1757614872186,1393.1701608758885,1534.869440486363,2547.2913314416664,80817337344,False,False
