sample_id,episode_id,block_index,intent,movement_camera_group,final_latent_mse,continuation_final_latent_mse,view_0_psnr_db,view_1_psnr_db,view_0_ssim,view_1_ssim,before_support_exact,proposal_ms
0,56,5,000800:1:1,1:0:0,0.10287423431873322,0.10595882683992386,39.67064935967146,25.049937629022526,0.9827261516445459,0.8682050840597126,True,1294.0796689945273
1,34,1,000000:1:1,0:0:0,0.22782385349273682,0.25235071778297424,17.059435486786466,17.847009080537788,0.8139445925748202,0.8410738809668055,True,651.7109480046201
2,56,2,000800:2:1,1:1:0,1.0040405988693237,0.27177709341049194,8.080838865706879,10.690886385715913,0.6830562259056364,0.7622077256550792,True,811.6187569976319
3,75,7,080000:1:0,1:0:-1,0.1258157193660736,0.04894574359059334,20.340034303540158,34.93083410251448,0.812684112956111,0.9237700872588362,True,1590.85408700048
4,79,4,080000:1:2,1:0:1,0.2424027919769287,0.13183453679084778,24.620484324182673,13.94508204721637,0.9425271949189908,0.8098268613132843,True,1133.7913050083444
5,65,4,000000:1:0,0:0:-1,0.2903616428375244,0.10210569202899933,20.622900851835098,36.08723243329971,0.835185575344053,0.9678773237360051,True,1140.4548790014815
6,18,7,000800:0:1,1:-1:0,1.4574744701385498,1.5477654933929443,7.8390665700418385,8.21509151249992,0.7130601021203091,0.7586845265681682,True,1595.062220992986
7,7,7,008800:1:1,1:0:0,0.6270925402641296,2.696359157562256,9.909130071965832,10.010825292302368,0.7263615619542351,0.780951037833995,True,1597.1852930088062
8,14,2,080000:1:1,1:0:0,0.4657309651374817,0.6875507831573486,14.548513750741794,15.174669508741447,0.7552935672192645,0.7722615061342665,True,816.6433600126766
9,55,6,080000:2:1,1:1:0,0.059675201773643494,0.052141252905130386,30.82162082272212,30.052667163019827,0.9278178855773209,0.9583123325881998,True,1454.3277579941787
10,44,3,020800:1:1,1:0:0,0.3312390446662903,2.482158899307251,17.607784153192775,26.518440949742544,0.8012391813349539,0.8962689911450035,True,976.9561300054193
11,17,7,028800:1:1,1:0:0,0.04612220823764801,0.01820351555943489,45.996864920841006,20.76878880260606,0.9894521967810285,0.9193181390151562,True,1591.7123910039663
