pair_id,scene,seed,delay,view,status,pair_valid,onset_frame,lag_from_change,offset_from_effect_start,latent_prefix_max_error,raw_prefix_max_error,finite_fraction
buildTower_normal__seed201__d0,buildTower_normal,201,d0,0,detected,True,105,9,0,0.0,0.0,1.0
buildTower_normal__seed201__d0,buildTower_normal,201,d0,1,detected,True,105,9,0,0.0,0.0,1.0
buildTower_normal__seed201__d1,buildTower_normal,201,d1,0,detected,True,117,21,0,0.0,0.0,1.0
buildTower_normal__seed201__d1,buildTower_normal,201,d1,1,detected,True,117,21,0,0.0,0.0,1.0
buildTower_normal__seed202__d0,buildTower_normal,202,d0,0,detected,True,105,9,0,0.0,0.0,1.0
buildTower_normal__seed202__d0,buildTower_normal,202,d0,1,detected,True,105,9,0,0.0,0.0,1.0
buildTower_normal__seed202__d1,buildTower_normal,202,d1,0,detected,True,117,21,0,0.0,0.0,1.0
buildTower_normal__seed202__d1,buildTower_normal,202,d1,1,detected,True,117,21,0,0.0,0.0,1.0
buildTower_normal__seed203__d0,buildTower_normal,203,d0,0,detected,True,105,9,0,0.0,0.0,1.0
buildTower_normal__seed203__d0,buildTower_normal,203,d0,1,detected,True,105,9,0,0.0,0.0,1.0
buildTower_normal__seed203__d1,buildTower_normal,203,d1,0,detected,True,117,21,0,0.0,0.0,1.0
buildTower_normal__seed203__d1,buildTower_normal,203,d1,1,detected,True,117,21,0,0.0,0.0,1.0
buildTower_normal__seed204__d0,buildTower_normal,204,d0,0,detected,True,105,9,0,0.0,0.0,1.0
buildTower_normal__seed204__d0,buildTower_normal,204,d0,1,detected,True,105,9,0,0.0,0.0,1.0
buildTower_normal__seed204__d1,buildTower_normal,204,d1,0,detected,True,117,21,0,0.0,0.0,1.0
buildTower_normal__seed204__d1,buildTower_normal,204,d1,1,detected,True,117,21,0,0.0,0.0,1.0
buildTower_normal__seed205__d0,buildTower_normal,205,d0,0,detected,True,105,9,0,0.0,0.0,1.0
buildTower_normal__seed205__d0,buildTower_normal,205,d0,1,detected,True,105,9,0,0.0,0.0,1.0
buildTower_normal__seed205__d1,buildTower_normal,205,d1,0,detected,True,117,21,0,0.0,0.0,1.0
buildTower_normal__seed205__d1,buildTower_normal,205,d1,1,detected,True,117,21,0,0.0,0.0,1.0
buildTower_normal__seed206__d0,buildTower_normal,206,d0,0,detected,True,105,9,0,0.0,0.0,1.0
buildTower_normal__seed206__d0,buildTower_normal,206,d0,1,detected,True,105,9,0,0.0,0.0,1.0
buildTower_normal__seed206__d1,buildTower_normal,206,d1,0,detected,True,117,21,0,0.0,0.0,1.0
buildTower_normal__seed206__d1,buildTower_normal,206,d1,1,detected,True,117,21,0,0.0,0.0,1.0
buildHouse_flat__seed201__d0,buildHouse_flat,201,d0,0,detected,True,105,9,0,0.0,0.0,1.0
buildHouse_flat__seed201__d0,buildHouse_flat,201,d0,1,detected,True,105,9,0,0.0,0.0,1.0
buildHouse_flat__seed201__d1,buildHouse_flat,201,d1,0,detected,True,117,21,0,0.0,0.0,1.0
buildHouse_flat__seed201__d1,buildHouse_flat,201,d1,1,detected,True,117,21,0,0.0,0.0,1.0
buildHouse_flat__seed202__d0,buildHouse_flat,202,d0,0,detected,True,105,9,0,0.0,0.0,1.0
buildHouse_flat__seed202__d0,buildHouse_flat,202,d0,1,detected,True,105,9,0,0.0,0.0,1.0
buildHouse_flat__seed202__d1,buildHouse_flat,202,d1,0,detected,True,117,21,0,0.0,0.0,1.0
buildHouse_flat__seed202__d1,buildHouse_flat,202,d1,1,detected,True,117,21,0,0.0,0.0,1.0
buildHouse_flat__seed203__d0,buildHouse_flat,203,d0,0,detected,True,105,9,0,0.0,0.0,1.0
buildHouse_flat__seed203__d0,buildHouse_flat,203,d0,1,detected,True,105,9,0,0.0,0.0,1.0
buildHouse_flat__seed203__d1,buildHouse_flat,203,d1,0,detected,True,117,21,0,0.0,0.0,1.0
buildHouse_flat__seed203__d1,buildHouse_flat,203,d1,1,detected,True,117,21,0,0.0,0.0,1.0
buildHouse_flat__seed204__d0,buildHouse_flat,204,d0,0,detected,True,105,9,0,0.0,0.0,1.0
buildHouse_flat__seed204__d0,buildHouse_flat,204,d0,1,detected,True,105,9,0,0.0,0.0,1.0
buildHouse_flat__seed204__d1,buildHouse_flat,204,d1,0,detected,True,117,21,0,0.0,0.0,1.0
buildHouse_flat__seed204__d1,buildHouse_flat,204,d1,1,detected,True,117,21,0,0.0,0.0,1.0
buildHouse_flat__seed205__d0,buildHouse_flat,205,d0,0,detected,True,105,9,0,0.0,0.0,1.0
buildHouse_flat__seed205__d0,buildHouse_flat,205,d0,1,detected,True,105,9,0,0.0,0.0,1.0
buildHouse_flat__seed205__d1,buildHouse_flat,205,d1,0,detected,True,117,21,0,0.0,0.0,1.0
buildHouse_flat__seed205__d1,buildHouse_flat,205,d1,1,detected,True,117,21,0,0.0,0.0,1.0
buildHouse_flat__seed206__d0,buildHouse_flat,206,d0,0,detected,True,105,9,0,0.0,0.0,1.0
buildHouse_flat__seed206__d0,buildHouse_flat,206,d0,1,detected,True,105,9,0,0.0,0.0,1.0
buildHouse_flat__seed206__d1,buildHouse_flat,206,d1,0,detected,True,117,21,0,0.0,0.0,1.0
buildHouse_flat__seed206__d1,buildHouse_flat,206,d1,1,detected,True,117,21,0,0.0,0.0,1.0
