budget,compute_candidates,compute_ms,eligible_block_count,extra_state_bytes,hit_count,hit_rate,lead_window_ms,measured_candidate_ms,measured_candidate_time_estimator,miss_count,miss_rate,predictor,projection,readiness_count,readiness_rate,subset,target,worker_capacity
1,28310,133769513.51135263,28310,4965556224,8774,0.3099258212645708,750.0,4725.16826249921,median,19536,0.6900741787354292,markov_history_3,simulation_from_measured_serial_branch_times,0,0.0,all,intent,1
1,21397,101104425.3126956,21397,4965556224,3697,0.1727812310136935,750.0,4725.16826249921,median,17700,0.8272187689863065,markov_history_3,simulation_from_measured_serial_branch_times,0,0.0,intent_change,intent,1
1,28310,133769513.51135263,28310,4965556224,8774,0.3099258212645708,750.0,4725.16826249921,median,19536,0.6900741787354292,markov_history_3,simulation_from_measured_serial_branch_times,0,0.0,all,intent,2
1,21397,101104425.3126956,21397,4965556224,3697,0.1727812310136935,750.0,4725.16826249921,median,17700,0.8272187689863065,markov_history_3,simulation_from_measured_serial_branch_times,0,0.0,intent_change,intent,2
1,28310,133769513.51135263,28310,4965556224,8774,0.3099258212645708,750.0,4725.16826249921,median,19536,0.6900741787354292,markov_history_3,simulation_from_measured_serial_branch_times,0,0.0,all,intent,4
1,21397,101104425.3126956,21397,4965556224,3697,0.1727812310136935,750.0,4725.16826249921,median,17700,0.8272187689863065,markov_history_3,simulation_from_measured_serial_branch_times,0,0.0,intent_change,intent,4
2,56620,267539027.02270526,28310,9931112448,12321,0.43521723772518545,750.0,4725.16826249921,median,15989,0.5647827622748145,markov_history_3,simulation_from_measured_serial_branch_times,0,0.0,all,intent,1
2,42794,202208850.6253912,21397,9931112448,6709,0.31354862831238023,750.0,4725.16826249921,median,14688,0.6864513716876197,markov_history_3,simulation_from_measured_serial_branch_times,0,0.0,intent_change,intent,1
2,56620,267539027.02270526,28310,9931112448,12321,0.43521723772518545,750.0,4725.16826249921,median,15989,0.5647827622748145,markov_history_3,simulation_from_measured_serial_branch_times,0,0.0,all,intent,2
2,42794,202208850.6253912,21397,9931112448,6709,0.31354862831238023,750.0,4725.16826249921,median,14688,0.6864513716876197,markov_history_3,simulation_from_measured_serial_branch_times,0,0.0,intent_change,intent,2
2,56620,267539027.02270526,28310,9931112448,12321,0.43521723772518545,750.0,4725.16826249921,median,15989,0.5647827622748145,markov_history_3,simulation_from_measured_serial_branch_times,0,0.0,all,intent,4
2,42794,202208850.6253912,21397,9931112448,6709,0.31354862831238023,750.0,4725.16826249921,median,14688,0.6864513716876197,markov_history_3,simulation_from_measured_serial_branch_times,0,0.0,intent_change,intent,4
4,113240,535078054.0454105,28310,19862224896,15904,0.5617802896503002,750.0,4725.16826249921,median,12406,0.43821971034969975,markov_history_3,simulation_from_measured_serial_branch_times,0,0.0,all,intent,1
4,85588,404417701.2507824,21397,19862224896,9564,0.44697854839463474,750.0,4725.16826249921,median,11833,0.5530214516053653,markov_history_3,simulation_from_measured_serial_branch_times,0,0.0,intent_change,intent,1
4,113240,535078054.0454105,28310,19862224896,15904,0.5617802896503002,750.0,4725.16826249921,median,12406,0.43821971034969975,markov_history_3,simulation_from_measured_serial_branch_times,0,0.0,all,intent,2
4,85588,404417701.2507824,21397,19862224896,9564,0.44697854839463474,750.0,4725.16826249921,median,11833,0.5530214516053653,markov_history_3,simulation_from_measured_serial_branch_times,0,0.0,intent_change,intent,2
4,113240,535078054.0454105,28310,19862224896,15904,0.5617802896503002,750.0,4725.16826249921,median,12406,0.43821971034969975,markov_history_3,simulation_from_measured_serial_branch_times,0,0.0,all,intent,4
4,85588,404417701.2507824,21397,19862224896,9564,0.44697854839463474,750.0,4725.16826249921,median,11833,0.5530214516053653,markov_history_3,simulation_from_measured_serial_branch_times,0,0.0,intent_change,intent,4
