target,predictor,budget,subset,test_episode_count,eligible_episode_count,eligible_block_count,hit_count,miss_count,hit_rate,miss_rate,hit_rate_ci95_low,hit_rate_ci95_high,compute_candidates,mean_candidates_per_block
strict_hash,repeat_last,1,all,85,84,28310,1763,26547,0.0622748146,0.9377251854,0.0437425539,0.0833433360,28310,1.0000000000
strict_hash,repeat_last,1,intent_change,85,84,21397,0,21397,0.0000000000,1.0000000000,0.0000000000,0.0000000000,21397,1.0000000000
strict_hash,repeat_last,2,all,85,84,28310,1763,26547,0.0622748146,0.9377251854,0.0437425539,0.0833433360,28310,1.0000000000
strict_hash,repeat_last,2,intent_change,85,84,21397,0,21397,0.0000000000,1.0000000000,0.0000000000,0.0000000000,21397,1.0000000000
strict_hash,repeat_last,4,all,85,84,28310,1763,26547,0.0622748146,0.9377251854,0.0437425539,0.0833433360,28310,1.0000000000
strict_hash,repeat_last,4,intent_change,85,84,21397,0,21397,0.0000000000,1.0000000000,0.0000000000,0.0000000000,21397,1.0000000000
strict_hash,global_frequency,1,all,85,84,28310,1066,27244,0.0376545390,0.9623454610,0.0195781913,0.0593339820,28310,1.0000000000
strict_hash,global_frequency,1,intent_change,85,84,21397,55,21342,0.0025704538,0.9974295462,0.0015641249,0.0037382448,21397,1.0000000000
strict_hash,global_frequency,2,all,85,84,28310,2632,25678,0.0929706817,0.9070293183,0.0721089937,0.1153461008,56620,2.0000000000
strict_hash,global_frequency,2,intent_change,85,84,21397,425,20972,0.0198625976,0.9801374024,0.0163028414,0.0236116064,42794,2.0000000000
strict_hash,global_frequency,4,all,85,84,28310,2695,25615,0.0951960438,0.9048039562,0.0745934364,0.1173250520,113240,4.0000000000
strict_hash,global_frequency,4,intent_change,85,84,21397,449,20948,0.0209842501,0.9790157499,0.0174369943,0.0246997522,85588,4.0000000000
strict_hash,markov_1,1,all,85,84,28310,1926,26384,0.0680324974,0.9319675026,0.0488608905,0.0897430288,28310,1.0000000000
strict_hash,markov_1,1,intent_change,85,84,21397,56,21341,0.0026171893,0.9973828107,0.0015956973,0.0038197977,21397,1.0000000000
strict_hash,markov_1,2,all,85,84,28310,2635,25675,0.0930766514,0.9069233486,0.0726025553,0.1152088002,56620,2.0000000000
strict_hash,markov_1,2,intent_change,85,84,21397,422,20975,0.0197223910,0.9802776090,0.0161405031,0.0235299650,42794,2.0000000000
strict_hash,markov_1,4,all,85,84,28310,2719,25591,0.0960438008,0.9039561992,0.0758371988,0.1179389832,113240,4.0000000000
strict_hash,markov_1,4,intent_change,85,84,21397,444,20953,0.0207505725,0.9792494275,0.0171754749,0.0244976035,85588,4.0000000000
strict_hash,markov_history_3,1,all,85,84,28310,1885,26425,0.0665842458,0.9334157542,0.0474166325,0.0882337043,28310,1.0000000000
